[[1, 1], [0, 0], [0, 0], [1, 3], [0, 0], [1, 3], [0, 1], [0, 0], [0, 0], [1, 2], [0, 3], [0, 1], [0, 0]]
[[7, 12], [1, 4], [2, 4], [8, 15], [2, 3], [10, 20], [8, 20], [2, 3], [2, 3], [6, 18], [11, 17], [8, 22], [11, 23]]
[[2, 3], [9, 14], [3, 5], [3, 8], [1, 1], [12, 20], [10, 20], [2, 3], [4, 8], [5, 10], [11, 20], [7, 14], [11, 16]]
[[1, 1], [0, 2], [1, 1], [1, 3], [0, 0], [1, 3], [1, 3], [0, 0], [0, 0], [2, 3], [0, 1], [1, 2], [2, 3]]
[[2, 4], [1, 1], [0, 1], [2, 5], [0, 0], [1, 3], [4, 8], [0, 0], [0, 0], [1, 3], [1, 4], [1, 1], [1, 2]]
[[5, 6], [1, 2], [2, 2], [3, 6], [1, 2], [12, 18], [5, 10], [1, 3], [2, 3], [8, 16], [5, 8], [6, 11], [11, 17]]
[[3, 4], [3, 9], [1, 5], [2, 4], [3, 3], [6, 17], [9, 20], [1, 1], [3, 4], [3, 8], [8, 16], [7, 19], [5, 10]]
[[5, 7], [0, 2], [1, 2], [8, 12], [1, 1], [14, 22], [7, 14], [1, 2], [0, 1], [5, 11], [12, 19], [1, 2], [5, 9]]
[[5, 10], [2, 8], [3, 4], [2, 10], [0, 0], [12, 23], [5, 16], [1, 3], [1, 2], [6, 17], [5, 10], [4, 9], [4, 8]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
[[0, 0], [0, 0], [0, 0], [1, 2], [0, 0], [2, 2], [1, 2], [0, 0], [0, 0], [0, 1], [1, 2], [1, 1], [0, 0]]
[[0, 0], [0, 0], [1, 2], [2, 2], [0, 0], [1, 1], [2, 2], [0, 0], [0, 0], [1, 2], [1, 1], [0, 0], [0, 0]]
[[0, 0], [1, 2], [0, 2], [1, 2], [0, 0], [0, 0], [3, 4], [0, 0], [1, 1], [1, 4], [0, 1], [1, 2], [0, 0]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
[[0, 0], [0, 2], [0, 1], [0, 0], [0, 0], [0, 0], [1, 2], [0, 0], [0, 1], [1, 2], [0, 0], [0, 2], [0, 0]]
[[0, 0], [1, 2], [0, 2], [1, 4], [0, 0], [1, 2], [1, 2], [1, 1], [0, 0], [2, 6], [1, 1], [2, 2], [0, 0]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 1], [0, 0], [0, 0], [0, 0], [0, 1], [0, 0], [0, 0]]
[[0, 0], [0, 0], [0, 0], [0, 1], [0, 0], [1, 1], [0, 0], [0, 0], [0, 0], [1, 2], [0, 0], [0, 0], [0, 0]]
[[0, 0], [1, 1], [1, 2], [3, 4], [0, 0], [1, 2], [4, 6], [0, 0], [1, 2], [1, 2], [1, 3], [1, 2], [0, 0]]
[[0, 0], [1, 2], [0, 1], [1, 1], [0, 0], [0, 0], [0, 1], [1, 1], [0, 0], [2, 3], [0, 0], [1, 1], [0, 0]]
[[0, 0], [0, 1], [0, 0], [1, 2], [0, 0], [2, 2], [0, 2], [0, 0], [0, 0], [1, 2], [0, 1], [0, 0], [0, 0]]
[[0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0], [0, 0]]
[[2, 4], [2, 3], [0, 0], [0, 4], [0, 0], [0, 0], [4, 8], [0, 1], [3, 6], [3, 5], [0, 0], [5, 8], [5, 5]]
[[1, 3], [1, 2], [0, 0], [2, 4], [0, 0], [0, 0], [6, 6], [0, 0], [2, 3], [3, 6], [2, 2], [1, 1], [4, 5]]
[[0, 0], [0, 0], [0, 0], [0, 1], [0, 0], [0, 0], [1, 2], [0, 1], [0, 2], [1, 3], [0, 1], [0, 1], [0, 1]]
[[4, 4], [2, 4], [1, 1], [0, 0], [0, 2], [2, 3], [4, 8], [1, 4], [6, 11], [6, 12], [1, 1], [3, 8], [2, 8]]
[[0, 0], [0, 0], [0, 0], [2, 2], [0, 0], [0, 0], [0, 0], [0, 1], [1, 2], [3, 5], [0, 0], [1, 1], [1, 1]]
[[0, 0], [0, 0], [0, 0], [1, 3], [0, 0], [0, 0], [1, 3], [0, 0], [0, 2], [2, 4], [0, 0], [1, 2], [1, 2]]
[[4, 8], [0, 6], [1, 2], [4, 8], [0, 0], [2, 3], [8, 16], [2, 5], [12, 27], [11, 25], [2, 5], [7, 14], [9, 21]]
[[1, 1], [0, 0], [1, 1], [3, 4], [1, 1], [0, 0], [3, 5], [1, 2], [2, 4], [3, 6], [0, 0], [0, 1], [3, 5]]
[[3, 6], [1, 3], [2, 2], [5, 11], [1, 2], [2, 2], [15, 27], [2, 4], [7, 14], [12, 31], [2, 4], [7, 15], [5, 15]]
[[2, 5], [3, 6], [2, 3], [6, 12], [2, 5], [2, 4], [14, 25], [3, 6], [19, 31], [15, 30], [1, 3], [10, 17], [11, 23]]
[[0, 0], [0, 2], [1, 1], [0, 1], [0, 0], [0, 0], [3, 5], [0, 0], [2, 4], [2, 3], [0, 0], [1, 4], [1, 4]]
[[3, 8], [0, 1], [1, 1], [5, 8], [0, 1], [1, 2], [7, 14], [1, 1], [8, 15], [7, 17], [3, 4], [5, 10], [9, 20]]
[[0, 5], [1, 5], [1, 1], [6, 8], [0, 1], [1, 2], [12, 21], [2, 5], [10, 15], [12, 23], [3, 4], [11, 20], [9, 18]]
